k\N,0,200,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2600,2800,3000,3200,3400,3600,3800,4000,4200,4400,4600,4800,5000,5200,5400,5600,5800,6000,6200,6400,6600,6800,7000,7200,7400,7600,7800,8000,8200,8400,8600,8800,9000,9200,9400,9600,9800
1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48000.0,46000.0,42000.0,37000.0,37000.0,34000.0,32000.0,30000.0,30000.0,28000.0,29000.0,29000.0,27000.0,26000.0,27000.0,25000.0,25000.0,26000.0,27000.0,25000.0,25000.0,28000.0,25000.0,25000.0,25000.0,25000.0,27000.0,27000.0,27000.0
1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48000.0,43000.0,42000.0,38000.0,36000.0,35000.0,32000.0,31000.0,31000.0,31000.0,30000.0,29000.0,26000.0,27000.0,26000.0,29000.0,28000.0,28000.0,26000.0,27000.0,27000.0,26000.0,26000.0,28000.0,26000.0,28000.0,27000.0,28000.0
1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49000.0,47000.0,45000.0,42000.0,39000.0,37000.0,35000.0,36000.0,34000.0,33000.0,33000.0,29000.0,28000.0,30000.0,29000.0,29000.0,28000.0,28000.0,29000.0,29000.0,29000.0,27000.0,27000.0,28000.0,28000.0,27000.0,28000.0,28000.0,27000.0
1.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45000.0,42000.0,39000.0,38000.0,37000.0,35000.0,34000.0,31000.0,30000.0,28000.0,31000.0,29000.0,30000.0,29000.0,31000.0,29000.0,29000.0,29000.0,28000.0,29000.0,29000.0,29000.0,28000.0,30000.0,29000.0,30000.0,28000.0
1.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49000.0,47000.0,41000.0,40000.0,39000.0,37000.0,36000.0,34000.0,33000.0,33000.0,33000.0,31000.0,30000.0,30000.0,31000.0,30000.0,32000.0,30000.0,30000.0,30000.0,29000.0,30000.0,31000.0,29000.0,29000.0,31000.0,30000.0,30000.0
2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49000.0,49000.0,46000.0,40000.0,39000.0,39000.0,37000.0,36000.0,35000.0,35000.0,31000.0,30000.0,31000.0,32000.0,30000.0,31000.0,30000.0,30000.0,32000.0,30000.0,30000.0,30000.0,31000.0,30000.0,30000.0,30000.0,30000.0,30000.0
2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48000.0,47000.0,42000.0,41000.0,37000.0,38000.0,37000.0,36000.0,34000.0,35000.0,31000.0,32000.0,31000.0,31000.0,32000.0,32000.0,32000.0,31000.0,31000.0,32000.0,31000.0,31000.0,31000.0,31000.0,32000.0,31000.0,32000.0
2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47000.0,42000.0,38000.0,40000.0,40000.0,35000.0,34000.0,33000.0,33000.0,34000.0,34000.0,34000.0,33000.0,32000.0,33000.0,33000.0,32000.0,32000.0,33000.0,33000.0,33000.0,32000.0,32000.0,32000.0,32000.0,32000.0
2.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48000.0,49000.0,44000.0,41000.0,40000.0,39000.0,38000.0,36000.0,34000.0,36000.0,34000.0,34000.0,35000.0,33000.0,33000.0,33000.0,34000.0,33000.0,34000.0,33000.0,33000.0,34000.0,33000.0,34000.0,33000.0,33000.0
2.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49000.0,49000.0,46000.0,41000.0,41000.0,42000.0,39000.0,39000.0,35000.0,37000.0,36000.0,36000.0,36000.0,35000.0,35000.0,35000.0,34000.0,34000.0,34000.0,35000.0,35000.0,34000.0,34000.0,34000.0,34000.0,34000.0
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47000.0,47000.0,45000.0,43000.0,41000.0,42000.0,40000.0,38000.0,37000.0,37000.0,38000.0,36000.0,36000.0,36000.0,35000.0,35000.0,35000.0,35000.0,37000.0,35000.0,37000.0,35000.0,35000.0,35000.0,35000.0,35000.0
